ticker,start_date,end_date
DBD,2012-12-01,2018-08-01
DBX,2023-07-01,
DCI,2012-12-01,
DCT,2017-01-01,2018-09-01
DDD,2013-09-01,2018-07-01
DDS,2017-03-01,2021-01-01
DECK,2012-12-01,2024-04-01
DEI,2015-06-01,2023-07-01
DF,2013-11-01,2018-05-01
DINO,2022-04-01,
DKS,2012-12-01,
DLB,2023-09-01,
DLPH,2018-01-01,2021-01-01
DLTR,2012-12-01,2013-12-01
DLX,2012-12-01,2021-01-01
DNB,2017-05-01,2019-10-01
DNKN,2015-06-01,2021-01-01
DNOW,2015-06-01,2021-01-01
DNR,2015-06-01,2017-04-01
DO,2017-01-01,2019-10-01
DOC,2021-03-01,2024-04-01
DOCN,2026-05-01,
DOCS,2023-07-01,
DOCU,2024-11-01,
DPL,2012-12-01,2013-12-01
DPZ,2013-11-01,2021-01-01
DRC,2013-11-01,2017-01-01
DRE,2012-12-01,2017-09-01
DRIV,2012-12-01,2013-12-01
DRQ,2012-12-01,2019-10-01
DST,2012-12-01,2018-06-01
DT,2022-10-01,
DTM,2021-08-01,
DUOL,2024-05-01,
DV,2013-11-01,2017-11-01
DWA,2012-12-01,2017-01-01
DY,2017-01-01,2023-04-01
DY,2026-02-01,
DYN,2012-12-01,2013-12-01
EAT,2012-12-01,2021-01-01
EBS,2021-03-01,2022-01-01
EDR,2016-12-01,2018-11-01
EEFT,2022-03-01,
EGN,2012-12-01,2019-10-01
EGP,2019-10-01,
EHC,2018-02-01,
EK,2012-12-01,2013-12-01
ELAN,2025-10-01,
ELF,2024-02-01,
ELS,2023-09-01,
ELY,2021-07-01,2022-10-01
EME,2016-12-01,2025-11-01
ENDP,2012-12-01,2015-06-01
ENDP,2017-04-01,2018-08-01
ENH,2017-01-01,2017-05-01
ENOV,2022-05-01,2025-02-01
ENR,2012-12-01,2023-11-01
ENS,2017-01-01,
ENSG,2024-11-01,
ENTG,2025-04-01,
ENV,2021-07-01,2023-12-01
EPC,2017-01-01,2021-04-01
EPR,2017-01-01,
EQH,2024-01-01,
EQIX,2012-12-01,2015-06-01
EQT,2019-10-01,2022-11-01
EQY,2012-12-01,2017-04-01
ERI,2018-09-01,2021-01-01
ERIE,2023-09-01,2024-10-01
ESAB,2022-05-01,
ESI,2012-12-01,2013-09-01
ESL,2013-11-01,2019-10-01
ESNT,2021-03-01,
ESS,2012-12-01,2015-06-01
ESV,2017-01-01,2019-09-01
ETRN,2019-10-01,2024-08-01
ETSY,2019-11-01,2021-01-01
EV,2012-12-01,2021-04-01
EVR,2018-05-01,
EW,2012-12-01,2013-12-01
EWBC,2012-12-01,
EXBD,2012-12-01,2013-11-01
